çsáÇ,îNìx,èäëÆÉRÅ[Éh,íSìñé“ÉRÅ[Éh,îNåéì˙,äJénéûä‘,èIóπéûä‘,ÉIÅ[É_î‘çÜ,çÏã∆ãÊï™ÇP,çÏã∆ãÊï™ÇQ,çÏã∆ãÊï™ÇR,îıçl,íçï∂î‘çÜ,ãxåeéûä‘,é¿òJéûä‘
34,2016,3631,0046,2017/01/18,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
35,2016,3631,0046,2017/01/18,12:50,19:30,S089950-0,'1101,'90,',,A363117010012,0.00,6.75
36,2016,3631,0046,2017/01/19,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
37,2016,3631,0046,2017/01/19,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
38,2016,3631,0046,2017/01/19,12:50,18:45,S089950-0,'1101,'90,',,A363117010012,0.00,6.00
39,2016,3631,0046,2017/01/22,10:30,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,1.50
40,2016,3631,0046,2017/01/22,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
41,2016,3631,0046,2017/01/22,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
42,2016,3631,0046,2017/01/22,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
43,2016,3631,0046,2017/01/22,18:00,21:45,S089950-0,'1101,'90,',,A363117010012,0.00,3.75
44,2016,3631,0046,2017/01/23,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
45,2016,3631,0046,2017/01/23,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
46,2016,3631,0046,2017/01/23,18:00,22:15,S089950-0,'1101,'90,',,A363117010012,0.00,4.25
47,2016,3631,0046,2017/01/24,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
48,2016,3631,0046,2017/01/24,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
49,2016,3631,0046,2017/01/24,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
50,2016,3631,0046,2017/01/24,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
51,2016,3631,0046,2017/01/24,18:00,22:00,S089950-0,'1101,'90,',,A363117010012,0.00,4.00
52,2016,3631,0046,2017/01/25,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
53,2016,3631,0046,2017/01/25,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
54,2016,3631,0046,2017/01/25,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
55,2016,3631,0046,2017/01/25,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
56,2016,3631,0046,2017/01/25,18:00,21:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
57,2016,3631,0046,2017/01/26,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
58,2016,3631,0046,2017/01/26,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
59,2016,3631,0046,2017/01/26,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
60,2016,3631,0046,2017/01/26,17:30,18:00,S999999-0,'9196,'96,',ãxåe,A363117010012,0.50,0.00
61,2016,3631,0046,2017/01/26,18:00,20:45,S089950-0,'1101,'90,',,A363117010012,0.00,2.75
62,2016,3631,0046,2017/01/27,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
63,2016,3631,0046,2017/01/27,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
64,2016,3631,0046,2017/01/27,12:50,18:15,S089950-0,'1101,'90,',,A363117010012,0.00,5.50
65,2016,3631,0046,2017/01/30,09:00,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,3.00
66,2016,3631,0046,2017/01/30,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
67,2016,3631,0046,2017/01/30,12:50,17:30,S089950-0,'1101,'90,',,A363117010012,0.00,4.75
68,2016,3631,0046,2017/01/31,09:30,12:00,S089950-0,'1101,'90,',,A363117010012,0.00,2.50
69,2016,3631,0046,2017/01/31,12:00,12:50,S999999-0,'9196,'96,',ãxåe,A363117010012,0.75,0.00
70,2016,3631,0046,2017/01/31,12:50,18:00,S089950-0,'1101,'90,',,A363117010012,0.00,5.25
